A:	Alay
KOBİ:	Küçük ve Orta Boy (Ölçekli) İşletme
KOİ:	Kamu Ortaklığı İdaresi
koor.:	Koordinasyon
Kor.:	Kolordu
Kora.:	Koramiral
Korg.:	Korgeneral
KOSGEB:	Küçük ve Orta Ölçekli İşletmeleri Geliştirme ve Destekleme İdaresi Başkanlığı
KOÜ:	Kocaeli Üniversitesi
KPDS:	Kamu Personeli Yabancı Dil Bilgisi Seviye Tespit Sınavı
KPSS:	Kamu Personel Seçme Sınavı
kr.:	Kuruş
krş.:	Karşılaştırınız
KSDB:	Kanserle Savaş Dairesi Başkanlığı
KSGM:	Kadının Statüsü Genel Müdürlüğü
KSÜ:	Kahramanmaraş Sütçü İmam Üniversitesi
KTKB:	Karadeniz Ticaret ve Kalkınma Bankası
KTO-KÜ:	KTO Karatay Üniversitesi
KTOP:	Karayip Topluluğu ve Ortak Pazarı
KTÖGM:	Kız Teknik Öğretim Genel Müdürlüğü
KTÜ:	Karadeniz Teknik Üniversitesi
KUGM:	Kara Ulaştırma Genel Müdürlüğü
Kur.:	Kurmay 
Kur. Bşk.:	Kurmay Başkanı, Başkanlığı
KÜ:	1. Kastamonu Üniversitesi 2. Kırıkkale Üniversitesi 3. Koç Üniversitesi
KVMGM:	Kültür Varlıkları ve Müzeler Genel Müdürlüğü
KYGM:	Kütüphaneler ve Yayımlar Genel Müdürlüğü
l:	Litre
LABB:	Latin Amerika Bütünleşme Birliği
LAFTA:	bk. LASTB (Latin America Free Trade Area)
LAIA:	bk. LABB (Latin American Integration Association)
LAKEK:	Latin Amerika ve Karayipler Ekonomik Komisyonu
LASTB:	Latin Amerika Serbest Ticaret Bölgesi
Lat.:	Latince
LCV:	Lütfen cevap veriniz
LES:	Lisansüstü Eğitim Giriş Sınavı
LP:	Uzunçalar (long play)
LPG:	Sıvılaştırılmış Petrol Gazı (Liquified Petroleum Gas)
Ltd.:	Limitet
LYS:	Lisans Yerleştirme Sınavı
m:	Metre
M:	Miladi
Mac.:	Macarca
Mah.:	1. Mahalle, mahallesi 2. Mahkeme, mahkemesi
MAKÜ:	Mehmet Akif Ersoy Üniversitesi
man.:	Mantık
MAÖ:	Merkezî Antlaşma Örgütü
MASAK:	Mali Suçları Araştırma Kurulu Başkanlığı
mat.:	Matematik
MAÜ:	1. Mardin Artuklu Üniversitesi 2. Muş Alparslan Üniversitesi
MB:	1. Maliye Bakanlığı 2. Bilgisayarda bellek birimi (megabyte)
Md.:	Müdür, müdürlük, müdürlüğü
MEB:	Millî Eğitim Bakanlığı
mec.:	Mecaz
MEÜ:	Mersin Üniversitesi
MGK:	Millî Güvenlik Kurulu Genel Sekreterliği
MGM:	1. İçişleri Bakanlığı Mahalli İdareler Genel Müdürlüğü 2.Maliye Bakanlığı Muhasebat Genel Müdürlüğü
MĞÜ:	Muğla Üniversitesi
MHAT:	Merkezî Haber Alma Teşkilatı
MHz:	Megahertz
MİGEM:	Maden İşleri Genel Müdürlüğü
MİLE:	Millî Emlak Genel Müdürlüğü
mim.:	Mimarlık
min.:	Mineraloji
MİT:	Millî İstihbarat Teşkilatı Müsteşarlığı
MK:	Medeni Kanun
MKB:	Millî Kütüphane Başkanlığı
MKE:	Makine ve Kimya Endüstrisi Kurumu
MKS:	Metre-Kilogram-Saat
MKÜ:	Mustafa Kemal Üniversitesi
MKYK:	Merkez Karar Yönetim Kurulu
mm:	Milimetre
MOBESE:	Bölgesel güvenlik sistemi (Mobil Elekronik Sistem Entegrasyonu)
MOSSAD:	İsrail Gizli Haber Alma Örgütü
MÖ:	Milattan önce
MPİ:	Millî Piyango İdaresi Genel Müdürlüğü
MPM:	Millî Prodüktivite Merkezi
MR:	Manyetik rezonans görüntüleme
MS:	Milattan sonra
MSB:	Millî Savunma Bakanlığı
MSGSÜ:	Mimar Sinan Güzel Sanatlar Üniversitesi
MTA:	Maden Tetkik ve Arama Genel Müdürlüğü
MÜ:	1. Maltepe Üniversitesi 2. Marmara Üniversitesi 3. Melikşah Üniversitesi
Müh.:	Mühendis, mühendisi, mühendislik
Mür.:	Müracaat
müz.:	Müzik
MYK:	1. Mesleki Yeterlilik Kurumu 2. Mülteciler Yüksek Komiserliği
NAFTA:	bk. KASTB (North American Free Trade Area)
NASA:	Amerikan Ulusal Havacılık ve Uzay Araştırmaları Merkezi(National Aeronautics and Space Administration)
NATO:	Kuzey Atlantik Antlaşması Teşkilatı (North Atlantic Treaty Organization)
NEÜ:	Nevşehir Üniversitesi
NĞÜ:	Niğde Üniversitesi
NKÜ:	Namık Kemal Üniversitesi
No.:	Numara
NOTAM:	Havacılar ve denizciler için uyarı bildirimi (Notice to Airmen)
Nö.:	Nöbetçi
Nö. Sb.:	Nöbetçi subayı
NVİGM:	Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü
OACI:	bk. USHÖ (International Civil Aviation Organization)
OAE:	bk. ABÖ (Organization of African Unity)
OAİB:	Orta Anadolu İhracatçı Birlikleri Genel Sekreterliği
OAOP:	Orta Amerika Ortak Pazarı
OAPEC:	bk. PİEAÜÖ (Organization of Arab Petroleum Exporting Countries)
OAU:	bk. ABÖ (Organization of African Unity)
OBESİD:	Okul İçi Beden Eğitimi Spor ve İzcilik Dairesi Başkanlığı
OCDE:	bk. EİBKT (Organization for Economic Cooperation and Development)
OCI:	bk. İKÖ (Organization of the Islamic Conference)
ODTÜ:	Orta Doğu Teknik Üniversitesi
ODÜ:	Ordu Üniversitesi
OECD:	bk. EİBKT (Organization for Economic Cooperation and Development)
OEEC:	bk. AEİBÖ (Organization for European Economic Cooperation)
OGM:	1. Orman Genel Müdürlüğü 2. Ortaöğretim Genel Müdürlüğü
OIC:	bk. İKÖ (Organization of the Islamic Conference)
OIEC:	bk. UİİBÖ (Organization for International Economic Cooperation)
OKAN:	Okan Üniversitesi
OKÖNEGM:	Okul Öncesi Eğitimi Genel Müdürlüğü
Okt.:	Okutman
OKÜ:	Osmaniye Korkut Ata Üniversitesi
OMC:	bk. DTÖ (World Trade Organization)
OMI:	bk. UDÖ (International Maritime Organization)
OMÜ:	Ondokuz Mayıs Üniversitesi
Onb.:	Onbaşı
OPEC:	bk. PİEÜT (Organization of Petroleum Exporting Countries)
OPEP:	bk. PİEÜT (Organization of Petroleum Exporting Countries)
Opr.:	Operatör
Or.:	Ordu
Ora.:	Oramiral
Ord.:	Ordinaryüs
Org.:	Orgeneral
ORKÖY:	Orman-Köy İlişkileri Genel Müdürlüğü
Ort.:	Ortaklık, ortakları, ortaklığı
OSB:	Organize Sanayi Bölgesi
Osm. T.:	Osmanlı Türkçesi
OSZE:	bk. AGİT (Organisation für Sicherheit und Zusammenarbeit in Europa)
OUA:	bk. ABÖ (Organization of African Unity)
OYAK:	Ordu Yardımlaşma Kurumu
OYEGM:	Öğretmen Yetiştirme ve Eğitimi Genel Müdürlüğü
ÖÇKKB:	Özel Çevre Koruma Kurumu Başkanlığı
ÖİB:	Özelleştirme İdaresi Başkanlığı
öl.:	Ölüm tarihi
ÖÖKGM:	Özel Öğretim Kurumları Genel Müdürlüğü
ör.:	Örnek
ÖRGM:	Özel Eğitim Rehberlik ve Danışma Hizmetleri Genel Müdürlüğü
ÖSGM:	Sanayi ve Ticaret Bakanlığı Ölçüler ve Standartlar Genel Müdürlüğü
ÖSS:	Öğrenci Seçme Sınavı
ÖSYM:	Ölçme, Seçme ve Yerleştirme Merkezi
ÖTV:	Özel tüketim vergisi
ÖYK:	Özelleştirme Yüksek Kurulu
ÖYS:	Öğrenci Yerleştirme Sınavı
öz.:	Özel
ÖZİ:	Özürlüler İdaresi Başkanlığı
ÖZÜ:	Özyeğin Üniversitesi
PAÜ:	Pamukkale Üniversitesi
ped.:	Pedagoji
PEN:	bk. UYB (International Association of Poets, Playwrights, Editors, Essayists and Novelists)
PETKİM:	Petrokimya Endüstrisi Genel Müdürlüğü
PİEAÜÖ:	Petrol İhraç Eden Arap Ülkeleri Örgütü
PİEÜT:	Petrol İhraç Eden Ülkeler Teşkilatı
PİGM:	Petrol İşleri Genel Müdürlüğü
PK:	Posta kutusu
PO:	Petrol Ofisi
POAŞ:	Petrol Ofisi Anonim Şirketi
Port.:	Portekizce
Prof.:	Profesör
psikol.:	Psikoloji
PTT:	Posta ve Telgraf Teşkilatı Genel Müdürlüğü
RAM:	Bilgisayarda okunabilir ve yazılabilir bellek (Random Access Memory)
RC:	Kızılhaç (Red Cross)
RCD:	bk. KİBİB (Regional Cooperation for Development)
RK:	Rekabet Kurumu
RNA:	Ribo nükleik asit
ROM:	Bilgisayarda yalnızca okunabilir bellek (Read-Only Memory)
Ro-Ro:	Gemiye taşıt indirme bindirme (Rolon-roloff)
RSHM:	Refik Saydam Hıfzıssıhha Merkezi Başkanlığı
RTÜK:	Radyo ve Televizyon Üst Kurulu
Rum.:	Rumca
Rus.:	Rusça
RÜ:	Rize Üniversitesi
S:	Sayı
s.:	Sayfa
sa.:	Saat
SAS:	Su Altı Savunma (Komandoları)
SAT:	Su Altı Taarruz (Komandoları)
SATEM:	Savunma Sanayii ve Teknoloji Eğitim Merkezi
SAÜ:	Sakarya Üniversitesi
Sb.:	Subay
SB:	Sağlık Bakanlığı
SBF:	Siyasal Bilgiler Fakültesi
SBS:	Seviye Belirleme Sınavı
SDIF:	bk. TMSF (Savings Deposit Insurance Fund)
SDÜ:	Süleyman Demirel Üniversitesi
SEFD Bşk.:	Millî Savunma Bakanlığı Seferberlik Dairesi Başkanlığı
SEK:	Süt Endüstrisi Kurumu Sanayi ve Ticaret Anonim Şirketi
SEKA:	Selüloz ve Kâğıt Sanayii Kurumu
sf.:	Sıfat
SG:	Sahil Güvenlik
SGK:	1.Sosyal Güvenlik Kurumu 2. Sahil Güvenlik Komutanlığı
SGM:	Sanayi ve Ticaret Bakanlığı Sanayi Genel Müdürlüğü
SHÇEK:	Sosyal Hizmetler ve Çocuk Esirgeme Kurumu
SHGM:	Sivil Havacılık Genel Müdürlüğü
SHÖ:	Sivil Havacılık Örgütü
SİÜ:	Siirt Üniversitesi
SKT:	Son kullanma tarihi
Sl.:	Slavca
SMWK:	bk. KEİ (Black Sea Economic Cooperation Pact)
Sn.:	1. Sayın. 2. Saniye
snt.:	Santral
SNÜ:	Sinop Üniversitesi
Sok.:	Sokak
SOS:	Uluslararası yardım isteme uyarısı (Save Our Souls)
sos.:	Sosyoloji
sp.:	Spor
SPA:	bk. SUGES (Salus per aquam)
SPK:	Sermaye Piyasası Kurulu
Srp.:	Sırpça
SSCB:	Sovyet Sosyalist Cumhuriyetleri Birliği
SSDB:	Sağlık Bakanlığı Sıtma Savaş Dairesi Başkanlığı
SSK:	Sosyal Sigortalar Kurumu
SSM:	Savunma Sanayi Müsteşarlığı
STB:	Sanayi ve Ticaret Bakanlığı
STK:	Sivil Toplum Kuruluşu
STÖ:	Sivil Toplum Örgütü
SUGES:	Sudan gelen sağlık
SÜ:	1. Sabancı Üniversitesi 2. Selçuk Üniversitesi
SWIFT:	bk. DBAFİT (Society for Worldwide Interbank Financial Telecommunication)
SYD:	Sayısal yoğun disk
SYDGM:	Sosyal Yardımlaşma ve Dayanışma Genel Müdürlüğü
Ş:	Şirket
Şb.:	Şube
ŞEHİR:	İstanbul Şehir Üniversitesi
ŞÜ:	Şırnak Üniversitesi
t:	Ton
T.:	Türkçe
T.C.:	Türkiye Cumhuriyeti
TAA:	Türkiye Adalet Akademisi
TAEK:	Türkiye Atom Enerjisi Kurumu
TAGEM:	Tarımsal Araştırmalar Genel Müdürlüğü
TAI:	bk. THS (Turkish Aerospace Industry)
TAPDK:	Tütün ve Alkol Piyasası Düzenleme Kurulu
tar.:	Tarih
TARİŞ:	Tarım Satış Kooperatifleri Birliği
TASS:	Sovyetler Birliği Telgraf Ajansı (Telegrafnoe Agentstvo Sovetskogo Soyuza)
TAŞ:	Türk Anonim Şirketi
TAU:	Teknik Araştırma ve Uygulama Genel Müdürlüğü
Tb.:	Tabur
TBB:	1. Türkiye Bankalar Birliği 2. Türkiye Barolar Birliği
TBMM:	Türkiye Büyük Millet Meclisi
TCDD:	Türkiye Cumhuriyeti Devlet Demiryolları
TCK:	Türkiye Cumhuriyeti Karayolları
TCMB:	Türkiye Cumhuriyet Merkez Bankası
TCZB:	Türkiye Cumhuriyeti Ziraat Bankası
TDÇİ:	Türkiye Demir Çelik İşletmeleri
TDİ:	Türkiye Denizcilik İşletmeleri
TDK:	Türk Dil Kurumu
TEAE:	Tarımsal Ekonomi Araştırma Enstitüsü
TEAŞ:	Türkiye Elektrik Üretim Anonim Şirketi
TEDAŞ:	Türkiye Elektrik Dağıtım Anonim Şirketi
TEDGEM:	Teşkilatlanma ve Destekleme Genel Müdürlüğü
TEFE:	Toptan eşya fiyatları endeksi
TEİAŞ:	Türkiye Elektrik İletim Anonim Şirketi
TEK:	Türkiye Elektrik Kurumu
tek.:	Teknik, teknoloji
tel.:	Telefon
telg.:	Telgraf
TEM:	Avrupa Transit Kara Yolu (Trans European Motor Way)
TEMSAN:	Türkiye Elektromekanik Sanayii
TETAŞ:	Türkiye Elektrik, Ticaret ve Taahhüt Anonim Şirketi
TFF:	Türkiye Futbol Federasyonu Başkanlığı
TGC:	Türkiye Gazeteciler Cemiyeti
TGM:	Kültür ve Turizm Bakanlığı Tanıtma Genel Müdürlüğü
TGS:	Türkiye Gazeteciler Sendikası
Tğm.:	Teğmen
THA:	Türk Haberler Ajansı
THK:	1. Türk Hava Kurumu 2. Türk Hukuk Kurumu
THS:	Türk Havacılık Sanayii
THSGM:	Telif Hakları ve Sinema Genel Müdürlüğü
THY:	Türk Hava Yolları
TIR:	Uluslararası Kara Yolu Taşımacılığı (Transport International Routier)
tic.:	Ticaret
TİGEM:	Tarım İşletmeleri Genel Müdürlüğü
TİKA:	Türk İş Birliği ve Koordinasyon Ajansı Başkanlığı
TİM:	Türkiye İhracatçılar Merkezi
TİSK:	Türkiye İşverenler Sendikası Konfederasyonu
tiy.:	Tiyatro
TK:	bk. BTK (Telekomünikasyon Kurumu)
TKAE:	Türk Kültürünü Araştırma Enstitüsü
TKB:	1. Türkiye Kalkınma Bankası 2. Türkiye Kalkınma Bankası Anonim Şirketi Genel Müdürlüğü 3. Türk Kadınlar Birliği
TKF:	Toplu Konut Fonu
TKGM:	Tapu ve Kadastro Genel Müdürlüğü
TKİ:	Türkiye Kömür İşletmeleri
TL:	Türk lirası
tlks.:	Teleks
tls.:	Telsiz
TM:	Türk malı
TMMOB:	Türk Mühendis ve Mimar Odaları Birliği
TMO:	Toprak Mahsulleri Ofisi
TMSF:	Tasarruf Mevduatı Sigorta Fonu
TMSK:	Türkiye Muhasebe Standartları Kurulu
TNCÜ:	Tunceli Üniversitesi
TOBB:	Türkiye Odalar ve Borsalar Birliği
TOBB ETÜ:	TOBB Ekonomi ve Teknoloji Üniversitesi
TODAİE:	Türkiye ve Orta Doğu Amme İdaresi Enstitüsü
TOEFL:	Yabancı dil olarak İngilizce testi (Test of English as a Foreign Language)
TOKİ:	Toplu Konut İdaresi Başkanlığı
Top.:	Topçu
TÖMER:	Türkçe Öğretim Merkezi
TÖÜ:	Turgut Özal Üniversitesi
TP:	Türk Petrolleri
TPAO:	Türkiye Petrolleri Anonim Ortaklığı
TPE:	Türk Patent Enstitüsü
TR:	Türkiye
TRGM:	Tarım Reformu Genel Müdürlüğü
TRKGM:	Tüketicinin ve Rekabetin Korunması Genel Müdürlüğü
TRS:	Toros Üniversitesi
TRT:	Türkiye Radyo ve Televizyon Kurumu
TSE:	Türk Standartları Enstitüsü
TSİ:	Türkiye saati ile
TSK:	Türk Silahlı Kuvvetleri
TSKB:	Türkiye Sınai Kalkınma Bankası
TT:	Türkiye Türkçesi
TTB:	Türk Tabipleri Birliği
TTK:	1. Türk Tarih Kurumu 2.Türkiye Taşkömürü Kurumu
TTKB:	Talim ve Terbiye Kurulu Başkanlığı
TTOK:	Türkiye Turing ve Otomobil Kurumu
TUBİM:	Türkiye Uyuşturucu ve Uyuşturucu Bağımlılığını İzleme Merkezi
Tug.:	Tugay
Tuğa.:	Tuğamiral
Tuğg.:	Tuğgeneral
TURKSTAT:	bk. TÜİK (Turkish Statistic Institution)
TUS:	Tıpta Uzmanlık Eğitimi Giriş Sınavı
TÜ:	Trakya Üniversitesi
TÜBA:	Türkiye Bilimler Akademisi
TÜBİTAK:	Türkiye Bilimsel ve Teknolojik Araştırma Kurumu
TÜDEMSAŞ:	Türkiye Demiryolu Makineleri Sanayii Anonim Şirketi
TÜFE:	Tüketici fiyatları endeksi
TÜGEM:	Tarımsal Üretim ve Geliştirme Genel Müdürlüğü
TÜİK:	Türkiye İstatistik Kurumu
TÜLOMSAŞ:	Türkiye Lokomotif ve Motor Sanayii Anonim Şirketi
Tüm.:	Tümen
Tüma.:	Tümamiral
Tümg.:	Tümgeneral
TÜPRAŞ:	Türkiye Petrol Rafinerileri Anonim Şirketi
TÜRDOK:	Türkiye Dokümantasyon Merkezi
TÜRKAK:	Türk Akreditasyon Kurumu
TÜRKİYE KOOP:	Türkiye Millî Kooperatifler Birliği
TÜRKKOOP:	Türkiye Tarım Kredi Kooperatifleri Merkez Birliği
TÜRKSAT:	Türksat Uydu Haberleşme Kablo TV ve İşletme Anonim Şirketi
TÜRKŞEKER:	Türkiye Şeker Fabrikaları Anonim Şirketi
TÜRSAB:	Türkiye Seyahat Acenteleri Birliği
TÜTAV:	Türk Tanıtma Vakfı
TÜVASAŞ:	Türkiye Vagon Sanayii Anonim Şirketi
TV:	Televizyon
TYDTA:	Türkiye Yatırım Destek ve Tanıtım Ajansı Başkanlığı
TZDK:	Türkiye Zirai Donatım Kurumu
TZOB:	Türkiye Ziraat Odaları Birliği
UA:	Avrupa Birliği Eğitim ve Gençlik Programları Merkezi Başkanlığı
UAAF:	Uluslararası Amatör Atletizm Federasyonu
UAD:	Uluslararası Adalet Divanı
UAEA:	Uluslararası Atom Enerjisi Ajansı
UAGF:	Uluslararası Amatör Güreş Federasyonu
UAT:	Uluslararası Af Teşkilatı
UBAK:	Ulaştırma Bakanlığı
UBAM:	Ulusal Bilimsel Araştırma Merkezi
UBB:	Uluslararası Basın Birliği
UBE:	Uluslararası Basın Enstitüsü
UBF:	Uluslararası Basketbol Federasyonu
UBOK:	Uluslararası Bilimsel Organizasyon Konseyi
UÇÖ:	Uluslararası Çalışma Örgütü
UDÖ:	Uluslararası Denizcilik Örgütü
UE:	bk. AB (European Union)
UEA:	Uluslararası Enerji Ajansı
UEFA:	bk. AFFB (Union of European Football Associations)
UEİBB:	Uluslararası Ekonomik İş Birliği Bankası
UETHF:	Uluslararası Ekolojik Tarım Hareketleri Federasyonu
UFF:	Uluslararası Futbol Federasyonu
UFK:	Uluslararası Finansman Kurumu
UFO:	Tanımlanmamış Uçan Nesne (Unidentified Flying Object)
UHF:	Ultra yüksek frekans (Ultra High Frequency)
UHİK:	Uluslararası Hilal İslam Komitesi
UHTB:	Uluslararası Hava Taşımacılığı Birliği
UİİBÖ:	Uluslararası İktisadi İş Birliği Örgütü
UİKB:	Uluslararası İmar ve Kalkınma Bankası
UKA:	Uluslararası Kalkınma Ajansı
UKK:	Uluslararası Kızılhaç Komitesi
UMT:	Uluslararası Mülteci Teşkilatı
UN:	bk. BM (United Nations)
UNAC:	bk. BMÇYT (United Nations Aid to Children)
UNCTAD:	bk. BMTKK (United Nations Conference on Trade and Development)
UNCTC:	bk. UŞM (United Nations Centre on Transnational Corporations)
UNESCO:	bk. BMEBKT (United Nations Educational, Scientific and Cultural Organization)
UNHCR:	bk. MYK
UNICEF:	Birleşmiş Milletler Uluslararası Çocuklara Yardım Fonu(United Nations International Children’s Emergency Fund)
UNIDO:	bk. BMSKÖ (United Nations Industrial Development Organisation)
UNO:	bk. BMT (United Nations Organization)
UNRRA:	bk. BMYRİ (United Nations Relief and Rehabilitation Administration)
UOK:	Uluslararası Olimpiyat Komitesi
UÖB:	Uluslararası Ödemeler Bankası
UPB:	Uluslararası Posta Birliği
UPF:	Uluslararası Para Fonu
UPI:	bk. UBB (United Press International)
UPU:	bk. UPB (Universal Postal Union)
USAŞ:	Uçak Sanayi Anonim Şirketi
USF:	Uluslararası Satranç Federasyonu
USHÖ:	Uluslararası Sivil Havacılık Örgütü
USÖ:	Uluslararası Standartlar Örgütü
UŞM:	Ulusötesi Şirketler Merkezi
UTKF:	Uluslararası Tarımsal Kalkınma Fonu
UTM:	Uluslararası Ticaret Merkezi
UTO:	Uluslararası Ticaret Odası
UÜ:	1. Ufuk Üniversitesi 2. Uludağ Üniversitesi
UYAÇM:	Uluslararası Yatırım Anlaşmazlıkları Çözüm Merkezi
UYB:	Uluslararası Yazarlar Birliği
Uzm.:	Uzman
Ü:	Üniversite
ÜAK:	Üniversitelerarası Kurul Başkanlığı
Üçvş.:	Üstçavuş
ÜDS:	Üniversitelerarası Kurul Yabancı Dil Sınavı
ÜFE:	Üretici fiyatları endeksi
ünl.:	Ünlem
ÜT:	Üretim tarihi
Ütğm.:	Üsteğmen
vb.:	Ve başkası, ve başkaları, ve benzeri, ve benzerleri, ve bunun gibi
VCD:	bk. GYD (Video Compact Disc)
vd.:	Ve devamı, ve diğerleri
VDMK:	Varlığa Dayalı Menkul Kıymetler
Vet.:	Veteriner
VGM:	1. Vakıflar Genel Müdürlüğü 2. Verimlik Genel Müdürlüğü
VHF:	Çok yüksek frekans (Very High Frequency)
VIP:	Çok önemli kişi (Very Important Person)
vs.:	Vesaire
w:	Elektrik güç birimi (Watt)
WACH:	bk. BATO (West African Clearing House)
WADB:	bk. BAKB (West African Development Bank)
WAP:	bk. KED (Wireless Application Protocol)
WCO:	bk. DGÖ (World Customs Organization)
WFC:	bk. DGK (World Food Council)
WHO:	bk. DSÖ (World Health Organization)
WIPO:	bk. DFMHÖ (World Intellectual Property Organisation)
WTO:	bk. DTÖ (World Trade Organization)
Y. Mim.:	Yüksek mimar
Y. Müh.:	Yüksek mühendis
Yay.:	Yayını, yayınları
Yb.:	Yarbay
YD:	Yoğun disk
Yd. Sb.:	Yedek subay
YDK:	Yüksek Denetleme Kurulu
YDS:	Yabancı Dil Sınavı
YEÖGM:	Yurt Dışı Eğitim Öğretim Genel Müdürlüğü
YİBF:	Yardım ve İş Birliği Fonu
YİGM:	1. Bayındırlık ve İskân Bakanlığı Yapı İşleri Genel Müdürlüğü2. Kültür ve Turizm Bakanlığı Yatırım ve İşletmeler Genel Müdürlüğü
YKr:	Yeni kuruş
YÖGM:	Millî Eğitim Bakanlığı Yükseköğretim Genel Müdürlüğü
YÖK:	Yükseköğretim Kurulu
YÖS:	Yabancı Uyruklu Öğrenci Sınavı
Yrd.: Yardımcı
Yrd. Doç.:	Yardımcı Doçent
YSE:	Yol, Su, Elektrik Genel Müdürlüğü
YSK:	Yüksek Seçim Kurulu
YTL:	Yeni Türk lirası
YTÜ:	1. Yeditepe Üniversitesi 2. Yıldız Teknik Üniversitesi
Yun.:	Yunanca
YURTKUR:	Yükseköğrenim Kredi ve Yurtlar Kurumu
YÜ:	1. Yalova Üniversitesi 2. Yaşar Üniversitesi
yy.:	Yüzyıl
YYÜ:	Yüzüncü Yıl Üniversitesi
Yzb.:	Yüzbaşı
zf.:	Zarf
ZKÜ:	Zonguldak Karaelmas Üniversitesi
zm.:	Zamir
ZMO:	Ziraat Mühendisleri Odası
zool.:	Zooloji
ZRV:	Zirve Üniversitesi
San.: Sanayi
Op.: Operatör
TL.: Türk Lirası
Tic.: Ticaret
Şti.: Şirketi
vek.: Vekili
St.: Saint
TL.: Türk Lirası
Öğr.:  Öğr.
Gör.: Gör.
bkz.: bkz.
